track_genre,definition
Acoustic,"Music produced primarily using acoustic instruments, such as guitars, pianos, and drums, with minimal use of electronic effects. This genre emphasizes the natural sound of the instruments and often features more complex melodies and harmonies than other genres."
Afrobeat,"A genre of music that blends African rhythms with Western jazz, funk, and soul influences. Afrobeat is typically characterized by its fast tempos, complex polyrhythms, and heavy use of percussion."
Alt-Rock,"Alternative rock, often abbreviated as alt-rock, is a broad category of rock music that emerged in the 1980s and 1990s as a reaction to the mainstream rock music of the time. Alt-rock is characterized by its non-mainstream sound and experimentation with different musical styles and genres."
Alternative,"Alternative music is a broad category of music that encompasses a wide range of styles, including alternative rock, electronic music, hip hop, and indie rock. Alternative music is typically characterized by its non-mainstream sound and its independent production."
Ambient,"Ambient music is a genre of music that is often characterized by soothing and atmospheric sounds. Ambient music is often used to create a sense of relaxation or meditation. It may feature elements of nature, such as ocean waves or bird songs, as well as electronic synthesizers and other effects."
Anime,"Anime music is a broad category of music that encompasses a wide range of styles, including pop, rock, ballads, and electronic music. Anime music is typically used to accompany Japanese animated shows and films."
Black-Metal,"Black-metal is a subgenre of heavy metal music that is characterized by its fast tempos, distorted guitars, and harsh vocals. Black metal lyrics often deal with themes of death, Satanism, and paganism. Some popular black metal artists include Venom, Bathory, and Mayhem."
Bluegrass,"Bluegrass is a genre of American roots music that is characterized by its acoustic instrumentation, including guitars, banjos, fiddles, and mandolins. Bluegrass music is often fast-paced and upbeat, and it often features complex harmonies and instrumentals. Some popular bluegrass artists include Bill Monroe, Flatt & Scruggs, and the Stanley Brothers."
Blues,"Blues is a genre of music that originated in the African-American community in the United States. Blues music is characterized by its emotional lyrics, which often deal with themes of hardship, loss, and love. Blues music is also known for its distinctive musical style, which features a 12-bar blues progression and a call-and-response format. Some popular blues artists include Robert Johnson, B.B. King, and Muddy Waters."
Brazil,"Brazilian music is a diverse genre that encompasses a wide range of styles, including samba, bossa nova, and MPB. Brazilian music is often characterized by its use of syncopated rhythms and its infectious melodies. Some popular Brazilian musicians include João Gilberto, Antônio Carlos Jobim, and Vinicius de Moraes."
Breakbeat,Breakbeat is a genre of electronic music that is characterized by its use of broken beats. Broken beats are created by chopping up and rearranging drum beats. Breakbeat music often features a fast tempo and a complex rhythmic structure. Some popular breakbeat artists include Amen break.
